ID,SMILES,BBB,Nodes,Edges
160,Clc1ccccc1C4=NCc3nnc(C2CCCCC2)n3c5sc(Br)cc45 ,1,27,62
161,CC(=O)CC(=O)C14OC(C)(C)OC1CC5C3CC(=C2C=C(CCC2(C)C3(F)C(O)CC45C)OCCCl)C#N ,1,38,84
162,CC(C)NC2C1CCC(CC1)C2(O)c3ccc(Cl)c(Cl)c3 ,1,21,46
163,NNCC1CCCCC1 ,1,9,18
164,CC(C)C(O)C1CCCCC1 ,1,11,22
165,COCC1CN(C(=O)O1)c3ccc(OCc2cccc(C#N)c2)cc3 ,1,25,54
166,COc2cc(C=CC(=O)N1CCCCCCC1)cc(OC)c2OC ,1,24,50
167,OC3N=C(c1ccccc1F)c2cc(Cl)ccc2N(CCC#N)C3=O ,1,25,54
168,CN(C(=O)CNC1CC1)c2ccc(Cl)cc2C(=O)c3ccccc3Cl ,1,25,54
169,CC5(C)OC4CC3C2CC(F)C1=CC(=O)C=CC1(C)C2(F)C(O)CC3(C)C4(O5)C(=O)COC(=O)C6CC6 ,1,37,84
170,CN1CCC3=C(CC1)c2cc(C#N)ccc2Sc4ccccc34 ,1,23,52
171,COc1cc(N)c(Cl)cc1C(=O)NC2CCN(CC2)Cc3ccccc3 ,1,26,56
172,Clc1cccc(Cl)c1N=C2NCCO2 ,1,14,30
173,CN2C(=O)CC(=O)N(c1ccccc1)c3cc(Cl)ccc23 ,1,21,46
174,CC4CC3C2CCC1=CC(=O)C=CC1(C)C2(F)C(=O)CC3(C)C4(O)C(=O)CCl ,1,28,62
175,CCCC(=O)OC3(C(C)CC4C2CCC1=CC(=O)C=CC1(C)C2(F)C(=O)CC34C)C(=O)CCl ,1,33,72
176,NC(=O)C4(CCN(CCCN2c1ccccc1CCc3ccc(Cl)cc23)CC4)N5CCCCC5 ,1,34,76
177,CC4CC3C2CC(F)C1=CC(=O)C=CC1(C)C2(Cl)C(O)CC3(C)C4C(=O)CO ,1,28,62
178,CC4CC3C2CC(F)C1=CC(=O)C=CC1(C)C2(Cl)C(O)CC3(C)C4C(=O)COC(C)=O ,1,31,68
179,CC4CC3C2CC(F)C1=CC(=O)C=CC1(C)C2(Cl)C(O)CC3(C)C4C(=O)COC(=O)C(C)(C)C ,1,34,74
180,CN(C)CCCn2c(=O)n(c1ccccc1)c3cc(Cl)ccc23 ,1,23,50
181,CCN(CC)CCOC1(CCCCC1)c2ccc(Cl)cc2 ,1,21,44
182,OC2(CCN(CCCC(=O)c1ccc(F)cc1)CC2)c3ccc(Cl)c(c3)C(F)(F)F ,1,30,64
183,Cc1ncsc1CCCl ,1,9,18
184,OCCN4CCN(CCC=C2c1ccccc1Sc3ccc(Cl)cc23)CC4 ,1,27,60
185,Clc1cccc(c1)N4CCN(CCCn3c(=O)[nH]c2ccccc2c3=O)CC4 ,1,28,62
186,Fc1ccc(cc1)C(CCCN2CCC(CC2)n3c(=O)[nH]c4cc(Cl)ccc34)c5ccc(F)cc5 ,1,35,78
187,CC13C=CC(=O)C=C1C(=CC4C2CCC(O)(C(=O)CO)C2(C)CC(O)C34)Cl ,1,27,60
188,ClC(Cl)(Cl)COC(=O)OCC(Cl)(Cl)Cl,1,14,26
189,CN(CCCOc1ccc(Cl)cc1Cl)CC#C ,1,17,34
190,Fc1ccc(cc1)C(=O)CCCN2CCC(CC2)C(=O)c3ccc(Cl)cc3 ,1,27,58
191,CN1CCN(CC1)C3Cc2ccccc2Sc4ccc(Cl)cc34 ,1,23,52
192,CCc2cc1C(=NCC(=O)N(C)c1s2)c3ccccc3Cl ,1,21,46
193,CCC(=O)OC3(C(C)CC4C2CC(F)C1=CC(=O)C=CC1(C)C2(F)C(O)CC34C)C(=O)SCCl ,1,34,74
194,CNC(=O)CCN1CCN(CCC=C2c3ccccc3Sc3ccc(cc23)Cl)CC1,1,30,66
195,CN1CCN(CC1)C3=Nc2cc(Cl)ccc2Nc4ccccc34 ,1,23,52
196,CCC24CCN(CC1CCC1)C(Cc3ccc(O)cc23)C4(C)C ,1,23,52
197,CCC1CC(=O)C2Oc5c(OC)ccc6CC3C1C2(CCN3CC4CC4)c56,1,27,64
198,CC1CC2C3CC(F)(F)C4=CC(=O)C=C[C@]4(C)C3(F)C(O)CC2(C)C1(O)C(=O)CO,1,30,66
199,CC12CCC(=O)C=C1CCC3C2CCC4(C)C3CCC4(O)C(=O)CO,1,25,56
200,CC(=O)OCC(=O)C3(O)CCC4C2CCC1=CC(=O)CCC1(C)C2C(=O)CC34C ,1,29,64
201,CC4CC3C2C=C(C)C1=Cc6c(CC1(C)C2C(O)CC3(C)C4(O)C(=O)COC(=O)c5cccc(c5)S(O)(=O)=O)cnn6c7ccccc7 ,1,48,108
202,CC4CC3C2C=C(C)C1=Cc5c(CC1(C)C2C(O)CC3(C)C4(O)C(=O)COC(C)=O)cnn5c6ccccc6 ,1,39,88
203,CN1C(CCC1=O)c2cccnc2 ,1,13,28
204,CN(C)CC(=O)C=C2c1ccccc1CCc3ccccc23 ,1,22,48
205,CC1CC(CC(C)(C)C1)OC(=O)C2CCC(=O)N2 ,1,18,38
206,CCC(N(CC)C(=O)C=CC)C(=O)N(C)C ,1,16,30
207,O=C(Nc1ccccc1)OCC2(CCCC2)COC(=O)Nc3ccccc3 ,1,27,58
208,CC2C3Cc1ccc(O)cc1C2(C)CCN3CC4CC4 ,1,20,46
209,CN(C)C1CCc2[nH]c3ccccc3c2C1,1,16,36
210,CCC1(C(=O)NC(=O)NC1=O)C2=CCCCC2 ,1,17,36
211,CN(C)CCC=C2c1ccccc1C=Cc3ccccc23,1,21,46
212,FC(F)(F)c5ccc4Sc1ccccc1N(CCCN2CCN(CC2)C3CC3)c4c5 ,1,30,68
213,CC(=O)C4CCC5C3CC(O)C12CC1CCC2(C)C3CCC45C ,1,23,54
214,CC(N(Cc1cnc(C)nc1N)C=O)=C2CCOC(=O)S2 ,1,21,44
215,NC(=O)C2c1ccccc1CCc3ccccc23 ,1,18,40
216,COC12C=CC3(CC1C(C)(C)O)C4Cc6ccc(O)c7OC2C3(CCN4CC5CC5)c67 ,1,31,74
217,CN(C)CCOC(=O)CCC1CCCCC1 ,1,16,32
218,OC(C1CC1c2ccncc2)(c3ccccc3)c4ccccc4 ,1,23,52
219,Clc1ccc(cc1)C12CC2C(=O)NC1=O,1,15,34
220,CN(C)CC(=O)N2c1ccccc1Sc3ccccc23 ,1,20,44
221,Nc1ccc(cc1)S(=O)(=O)c2ccc(N)cc2 ,1,17,36
222,OC(C1=NCCN1)(c2ccc(Cl)cc2)c3ccccn3 ,1,20,44
223,CN(C)CCO,1,6,10
224,CCCCCCCCCCOc1c(OC)cc(cc1OC)C(N)=O ,1,24,48
225,Cc1ccc(c(c1)N1CCNCC1)Cc1ccccc1,1,20,44
226,Clc3ccc2NC(=O)CN(=C(c1ccccc1)c2c3)=O ,1,20,44
227,CCCCn2c(=O)n(CCCC)c1ncn(CC(C)=O)c1c2=O ,1,23,48
228,CC(=O)C3(O)CCC4C2CCC1=CC(=O)C=CC1(C)C2C(O)CC34C ,1,25,56
229,Nc2ncc1ncn(COCCO)c1n2 ,1,15,32
230,CC(=O)C14OC(C)(C)OC1CC5C3CCC2=CC(=O)C=CC2(C)C3(F)C(O)CC45C ,1,30,68
231,COC5C(CC4CN3CCc1c([nH]c2ccccc12)C3CC4C5C(=O)OC)OC(=O)c6cc(OC)c(OC)c(OC)c6 ,1,42,94
232,CC5(C)OC4CC3C2CCC1=CC(=O)C=CC1(C)C2C(O)CC3(C)C4(O5)C(=O)CO ,1,30,68
233,CC4CC3C2CCC1=CC(=O)C=CC1(C)C2(F)C(O)CC3(C)C4C(=O)CO ,1,27,60
234,Cc2cccc(Cc1c[nH]cn1)c2C ,1,14,30
235,CC4CC3C2CCC1=CC(=O)C=CC1(C)C2(F)C(O)CC3(C)C4(OC(=O)c5ccco5)C(=O)COC(C)=O ,1,38,84
236,C2CN1CC(N=C1S2)c3ccccc3 ,1,14,32
237,C2CN1C(CN=C1N2)c3ccccc3 ,1,14,32
238,C1CCC(NC1)C2COC(O2)(c3ccccc3)c4ccccc4 ,1,23,52
239,CC34CC(Cl)C1(Cl)C(CCC2=CC(=O)C=CC12C)C3CCC4(O)C(=O)CO ,1,27,60
240,CC(=O)CC(=O)C3(O)CCC4C2CCC1=CC(=O)C=CC1(C)C2(Cl)C(Cl)CC34C ,1,29,64
241,ClCCl ,1,3,4
242,CCN(CC)CCNC(=O)c1cc(Cl)cc(Cl)c1OC ,1,20,40
243,CC(C)CC(=O)OCC1=COC(OC(=O)CC(C)C)C2C1CC(OC(C)=O)C23CO3 ,1,30,64
244,CCCCOCC(CN1C(=O)N(CC(COCCCC)OC(N)=O)C(=O)C(CC)(C1=O)c2ccccc2)OC(N)=O ,1,41,84
245,Fc1ccc(cc1)C(CCCN1CCN(CCNc2ccccc2)CC1)c1ccc(cc1)F,1,33,72
246,CC4CC3C2CC(F)C1=CC(=O)C=CC1(C)C2(F)C(O)CC3(C)C4C(=O)CO ,1,28,62
247,CC4CC3C2CC(F)C1=CC(=O)C=CC1(C)C2(F)C(O)CC3(C)C4C(=O)COC(=O)C(C)(C)C ,1,34,74
248,COc1ccc2CC5C3CCC(O)C4Oc1c2C34CCN5C ,1,22,52
249,CN1CCC(C)(C1)CN3c2ccccc2Sc4ccccc34 ,1,22,50
250,CC1(C)OC(=O)NC1=O ,1,9,18
251,CN(C)CCn1cnc2n(C)c(=O)n(C)c(=O)c12 ,1,18,38
252,C[CH](Cc1ccccc1)N(C)C ,1,12,24
253,O=C1CN2C(CCC2=O)N1,1,10,22
254,CCCCCCCCCC1(C)OCC(COC(N)=O)O1 ,1,20,40
255,CN(C)CCOC(c1ccccc1)c2ccccc2 ,1,19,40
256,CC(=O)NNC(=O)CC(O)(c1ccccc1)c2ccccc2 ,1,22,46
257,COC12CCC3(CC1C(C)(C)O)C4Cc6ccc(O)c7OC2C3(CCN4CC5CC5)c67 ,1,31,74
258,CCc2c(OC)nc1nc(cn1c2C)C(=O)c3ccccc3 ,1,22,48
259,CC13NC(Cc2ccccc12)c4ccccc34 ,1,17,40
260,CCCC(=O)OC3(CCCC4C2CCC1=CC(=O)C=CC1(C)C2C(O)CC34C)C(C)=O ,1,31,68
261,COc4cc3CC(CC1CCN(CC1)Cc2ccccc2)C(=O)c3cc4OC ,1,28,62
262,Oc4ccc(CCNC(=O)C23CC1CC(CC(C1)C2)C3)cc4O ,1,23,52
263,CCN2CC(CCN1CCOCC1)C(C2=O)(c3ccccc3)c4ccccc4,1,28,62
264,COc4ccc3CC1N(C)CCC2(CC(O)CCC12O)c3c4OC ,1,24,54
265,CNCCC(Oc1cccc2ccccc12)c3cccs3 ,1,21,46
266,Fc1ccc(cc1)C(=O)C5CCN(CCCN3c2ccccc2Sc4ccc(cc34)C(F)(F)F)CC5 ,1,36,80
267,O=C(CN1CCCC1=O)NNC(=O)CN2CCCC2=O ,1,20,42
268,CCC(=O)N(C1CCCC1N(C)C)c2ccc(Cl)c(Cl)c2 ,1,21,44
269,CCC(=CC)C(=O)NC(N)=O ,1,11,20
270,CC1=NN(C(=O)C1)c2ccccc2 ,1,13,28
271,CC(c1ccccc1)n2ccnc2C ,1,14,30
272,CN(C)CCC=C2c1ccccc1CNc3cc(Cl)ccc23 ,1,22,48
273,CCS(=O)(=O)CCN2C(=O)CN=C(c1ccccc1F)c3cc(Cl)ccc23 ,1,27,58
274,Fc1ccc(cc1)c5ccc(CN2CCN(CC2)c3cccc4ccoc34)[nH]5 ,1,28,64
275,C1CN(CCN1)c2cccc3OCCOc23 ,1,16,36
276,CCC(CC)(CNC(=O)CCCO)c1cccc(OC)c1 ,1,21,42
277,CCC(C)(CC)OC(N)=O ,1,10,18
278,COc1ccccc1N2CCN(CC2)CC(O)COc3cc(OC)c(OC)c(OC)c3 ,1,31,66
279,CCOC(=O)N(Cc1ccccc1)C2CC2 ,1,16,34
280,OC1CCN(CC1)c2ccc(nn2)c3ccc(Cl)cc3Cl ,1,21,46
281,CCN(CC)C(=O)C2C1CC(C=C1)C2C(=O)N(CC)CC ,1,21,44
282,CC3CC2C1CCC(C(C)=O)C1(C)CC(O)C2C4(C)C=CC(=O)C=C34,1,25,56
283,FC(F)OC(F)(F)C(F)Cl ,1,10,18
284,CC3OC1(CCCCC1Oc2cccc(Cl)c2)NC3=O ,1,20,44
285,CCCCCCCNC(=O)Oc3ccc2N(C)C1N(C)CCC1(C)c2c3 ,1,26,56
