Source,No,No-Li,Name,SMILES,Alternative_SMILES,Original_SMILES,BBB,Ref
Adenot,,,allomethadione,CC1OC(=O)N(CC=C)C1=O ,CC1OC(=O)N(CC=C)C1=O ,,1,
Adenot,,,almoxatone,CNCC1CN(C(=O)O1)c3ccc(OCc2cccc(Cl)c2)cc3 ,CNCC1CN(C(=O)O1)c3ccc(OCc2cccc(Cl)c2)cc3 ,,1,
Adenot,,,alnespirone,COc3cccc4OCC(CCCNCCCCN2C(=O)CC1(CCCC1)CC2=O)Cc34 ,COc3cccc4OCC(CCCNCCCCN2C(=O)CC1(CCCC1)CC2=O)Cc34 ,,1,
Adenot,,,alonimid,O=C3CCC1(CCC(=O)c2ccccc12)C(=O)N3 ,O=C3CCC1(CCC(=O)c2ccccc12)C(=O)N3 ,,1,
Adenot,,,aloracetam,CC(=O)NCCn1c(C)cc(C=O)c1C ,CC(=O)NCCn1c(C)cc(C=O)c1C ,,1,
Adenot,,,alozafone,CC(CC#N)N(C)CC(=O)N(C)c1ccc(Cl)cc1C(=O)c2ccccc2F ,CC(CC#N)N(C)CC(=O)N(C)c1ccc(Cl)cc1C(=O)c2ccccc2F ,,1,
Adenot,,,alphameprodine (betameprodine),CCC1CN(C)CCC1(OC(=O)CC)c2ccccc2 ,CCC1CN(C)CCC1(OC(=O)CC)c2ccccc2 ,,1,
Adenot,,,alphamethadol,CCC(O)C(CC(C)N(C)C)(c1ccccc1)c2ccccc2 ,CCC(O)C(CC(C)N(C)C)(c1ccccc1)c2ccccc2 ,,1,
Adenot,,,alpiropride,CNS(=O)(=O)c2cc(C(=O)NCC1CCCN1CC=C)c(OC)cc2N ,CNS(=O)(=O)c2cc(C(=O)NCC1CCCN1CC=C)c(OC)cc2N ,,1,
Adenot,,,alrestatin,OC(=O)CN1C(=O)c2cccc3cccc(C1=O)c23 ,OC(=O)CN1C(=O)c2cccc3cccc(C1=O)c23 ,,1,
Adenot,,,amcinafal,CCC5(CC)OC4CC3C2CCC1=CC(=O)C=CC1(C)C2(F)C(O)CC3(C)C4(O5)C(=O)CO ,CCC5(CC)OC4CC3C2CCC1=CC(=O)C=CC1(C)C2(F)C(O)CC3(C)C4(O5)C(=O)CO ,,1,
Adenot,,,amcinafide,CC5(OC4CC3C2CCC1=CC(=O)C=CC1(C)C2(F)C(O)CC3(C)C4(O5)C(=O)CO)c6ccccc6 ,CC5(OC4CC3C2CCC1=CC(=O)C=CC1(C)C2(F)C(O)CC3(C)C4(O5)C(=O)CO)c6ccccc6 ,,1,
Adenot,,,amcinonide,CC(=O)OCC(=O)C25OC1(CCCC1)OC2CC6C4CCC3=CC(=O)C=CC3(C)C4(F)C(O)CC56C ,CC(=O)OCC(=O)C25OC1(CCCC1)OC2CC6C4CCC3=CC(=O)C=CC3(C)C4(F)C(O)CC56C ,,1,
Adenot,,,amelometasone,CCC(=O)OC3(C(C)CC4C2CCC1=CC(=O)C=CC1(C)C2(F)C(O)CC34C)C(=O)COC ,CCC(=O)OC3(C(C)CC4C2CCC1=CC(=O)C=CC1(C)C2(F)C(O)CC34C)C(=O)COC ,,1,
Adenot,,,ameltolide,Cc1cccc(C)c1NC(=O)c2ccc(N)cc2 ,Cc1cccc(C)c1NC(=O)c2ccc(N)cc2 ,,1,
Adenot,,,amesergide,CC(C)n3cc4CC1C(CC(CN1C)C(=O)NC2CCCCC2)c5cccc3c45 ,CC(C)n3cc4CC1C(CC(CN1C)C(=O)NC2CCCCC2)c5cccc3c45 ,,1,
Adenot,,,amfetaminil,CC(Cc1ccccc1)NC(C#N)c2ccccc2 ,CC(Cc1ccccc1)NC(C#N)c2ccccc2 ,,1,
Adenot,,,amineptine,OC(=O)CCCCCCNC2c1ccccc1CCc3ccccc23 ,OC(=O)CCCCCCNC2c1ccccc1CCc3ccccc23 ,,1,
Adenot,,,amisulpride,CCN1CCCC1CNC(=O)c2cc(c(N)cc2OC)S(=O)(=O)CC ,CCN1CCCC1CNC(=O)c2cc(c(N)cc2OC)S(=O)(=O)CC ,,1,
Adenot,,,amitriptylinoxide,CN(C)(=O)CCC=C2c1ccccc1CCc3ccccc23 ,CN(C)(=O)CCC=C2c1ccccc1CCc3ccccc23 ,,1,
Adenot,,,amixetrine,CC(C)CCOC(CN1CCCC1)c2ccccc2 ,CC(C)CCOC(CN1CCCC1)c2ccccc2 ,,1,
Adenot,,,amperozide,CCNC(=O)N3CCN(CCCC(c1ccc(F)cc1)c2ccc(F)cc2)CC3 ,CCNC(=O)N3CCN(CCCC(c1ccc(F)cc1)c2ccc(F)cc2)CC3 ,,1,
Adenot,,,amphenidone,Nc1cccc(c1)n2ccccc2=O ,Nc1cccc(c1)n2ccccc2=O ,,1,
Adenot,,,amphetamine,CC(N)Cc1ccccc1 ,CC(N)Cc1ccccc1 ,,1,
Adenot,,,ampyzine,CN(C)c1cnccn1 ,CN(C)c1cnccn1 ,,1,
Adenot,,,amylene-hydrate,CCC(C)(C)O ,CCC(C)(C)O ,,1,
Adenot,,,anileridine,CCOC(=O)C2(CCN(CCc1ccc(N)cc1)CC2)c3ccccc3 ,CCOC(=O)C2(CCN(CCc1ccc(N)cc1)CC2)c3ccccc3 ,,1,
Adenot,,,aniracetam,COc1ccc(cc1)C(=O)N2CCCC2=O ,COc1ccc(cc1)C(=O)N2CCCC2=O ,,1,
Adenot,,,anseculin,COc2cc1oc(=O)c(C)c(C)c1cc2OCCCN3CCN(CC3)c4ccccc4OC ,COc2cc1oc(=O)c(C)c(C)c1cc2OCCCN3CCN(CC3)c4ccccc4OC ,,1,
Adenot,,,apadoline,CCCNC(=O)c4ccc3Sc1ccccc1N(CCN2CCCC2)c3c4 ,CCCNC(=O)c4ccc3Sc1ccccc1N(CCN2CCCC2)c3c4 ,,1,
Adenot,,,apomorphine,CN2CCc1cccc3c1C2Cc4ccc(O)c(O)c34 ,CN2CCc1cccc3c1C2Cc4ccc(O)c(O)c34 ,,1,
Adenot,,,aprobarbital,CC(C)C1(CC=C)C(=O)NC(=O)NC1=O ,CC(C)C1(CC=C)C(=O)NC(=O)NC1=O ,,1,
Adenot,,,aripiprazole,Clc4cccc(N3CCN(CCCCOc2ccc1CCC(=O)Nc1c2)CC3)c4Cl ,Clc4cccc(N3CCN(CCCCOc2ccc1CCC(=O)Nc1c2)CC3)c4Cl ,,1,
Adenot,,,ascorbic-acid,OCC(O)C1OC(=O)C(=C1O)O ,OCC(O)C1OC(=O)C(=C1O)O ,,1,
Adenot,,,aspirin,CC(=O)Oc1ccccc1C(O)=O ,CC(=O)Oc1ccccc1C(O)=O ,,1,
Adenot,,,atolide,CCN(CC)c2ccc(NC(=O)c1ccccc1N)c(C)c2 ,CCN(CC)c2ccc(NC(=O)c1ccccc1N)c(C)c2 ,,1,
Adenot,,,atromepine,CN1C2CCC1CC(C2)OC(=O)C(C)(CO)c3ccccc3 ,CN1C2CCC1CC(C2)OC(=O)C(C)(CO)c3ccccc3 ,,1,
Adenot,,,atropine-oxide,CN1(=O)C2CCC1CC(C2)OC(=O)C(CO)c3ccccc3 ,CN1(=O)C2CCC1CC(C2)OC(=O)C(CO)c3ccccc3 ,,1,
Adenot,,,avizafone,CN(C(=O)CNC(=O)C(N)CCCCN)c1ccc(Cl)cc1C(=O)c2ccccc2 ,CN(C(=O)CNC(=O)C(N)CCCCN)c1ccc(Cl)cc1C(=O)c2ccccc2 ,,1,
Adenot,,,axamozide,Clc5ccc4n(C1CCN(CC1)CC3COc2ccccc2O3)c(=O)[nH]c4c5 ,Clc5ccc4n(C1CCN(CC1)CC3COc2ccccc2O3)c(=O)[nH]c4c5 ,,1,
Adenot,,,azabon,Nc1ccc(cc1)S(=O)(=O)N3CC2CCC(CC2)C3 ,Nc1ccc(cc1)S(=O)(=O)N3CC2CCC(CC2)C3 ,,1,
Adenot,,,azabuperone,Fc1ccc(cc1)C(=O)CCCN3CCN2CCCC2C3 ,Fc1ccc(cc1)C(=O)CCCN3CCN2CCCC2C3 ,,1,
Adenot,,,azacyclonol,OC(C1CCNCC1)(c2ccccc2)c3ccccc3 ,OC(C1CCNCC1)(c2ccccc2)c3ccccc3 ,,1,
Adenot,,,azaloxan,O=C1NCCN1C4CCN(CCC3COc2ccccc2O3)CC4 ,O=C1NCCN1C4CCN(CCC3COc2ccccc2O3)CC4 ,,1,
Adenot,,,azaperone,Fc1ccc(cc1)C(=O)CCCN2CCN(CC2)c3ccccn3 ,Fc1ccc(cc1)C(=O)CCCN2CCN(CC2)c3ccccn3 ,,1,
Adenot,,,azaquinzole,C3CN2CCc1ccccc1C2CN3 ,C3CN2CCc1ccccc1C2CN3 ,,1,
Adenot,,,azepindole,C3CNCc2cc1ccccc1n2C3 ,C3CNCc2cc1ccccc1n2C3 ,,1,
Adenot,,,azipramine,CN(CCc2cc3cccc4CCc1ccccc1n2c34)Cc5ccccc5 ,CN(CCc2cc3cccc4CCc1ccccc1n2c34)Cc5ccccc5 ,,1,
Adenot,,,balaperidone,Fc1ccc(cc1)C4CC5CN(CCn3c(=O)[nH]c2ccccc2c3=O)CC45 ,Fc1ccc(cc1)C4CC5CN(CCn3c(=O)[nH]c2ccccc2c3=O)CC45 ,,1,
Adenot,,,bamifylline,CCN(CCO)CCn2c(Cc1ccccc1)nc3n(C)c(=O)n(C)c(=O)c23 ,CCN(CCO)CCn2c(Cc1ccccc1)nc3n(C)c(=O)n(C)c(=O)c23 ,,1,
Adenot,,,barbital,CCC1(CC)C(=O)NC(=O)NC1=O ,CCC1(CC)C(=O)NC(=O)NC1=O ,,1,
Adenot,,,batelapine,CN1CCN(CC1)C3=Nc2ccccc2Cc4nc(C)nn34 ,CN1CCN(CC1)C3=Nc2ccccc2Cc4nc(C)nn34 ,,1,
Adenot,,,beclamide,ClCCC(=O)NCc1ccccc1 ,ClCCC(=O)NCc1ccccc1 ,,1,
Adenot,,,beclomethasone (beclometasone),CC4CC3C2CCC1=CC(=O)C=CC1(C)C2(Cl)C(O)CC3(C)C4(O)C(=O)CO,CC4CC3C2CCC1=CC(=O)C=CC1(C)C2(Cl)C(O)CC3(C)C4(O)C(=O)CO,,1,
Adenot,,,befloxatone,COCC1CN(C(=O)O1)c2ccc(OCCC(O)C(F)(F)F)cc2 ,COCC1CN(C(=O)O1)c2ccc(OCCC(O)C(F)(F)F)cc2 ,,1,
Adenot,,,bemegride,CCC1(C)CC(=O)NC(=O)C1 ,CCC1(C)CC(=O)NC(=O)C1 ,,1,
Adenot,,,benactyzine,CCN(CC)CCOC(=O)C(O)(c1ccccc1)c2ccccc2 ,CCN(CC)CCOC(=O)C(O)(c1ccccc1)c2ccccc2 ,,1,
Adenot,,,benfotiamine,CC(N(Cc1cnc(C)nc1N)C=O)=C(CCOP(O)(O)=O)SC(=O)c2ccccc2 ,CC(N(Cc1cnc(C)nc1N)C=O)=C(CCOP(O)(O)=O)SC(=O)c2ccccc2 ,,1,
Adenot,,,benorilate,CC(=O)Nc2ccc(OC(=O)c1ccccc1OC(C)=O)cc2 ,CC(=O)Nc2ccc(OC(=O)c1ccccc1OC(C)=O)cc2 ,,1,
Adenot,,,benperidol,Fc1ccc(cc1)C(=O)CCCN2CCC(CC2)n3c(=O)[nH]c4ccccc34 ,Fc1ccc(cc1)C(=O)CCCN2CCC(CC2)n3c(=O)[nH]c4ccccc34 ,,1,
Adenot,,,bentazepam,O=C2CN=C(c1ccccc1)c3c(N2)sc4CCCCc34 ,O=C2CN=C(c1ccccc1)c3c(N2)sc4CCCCc34 ,,1,
Adenot,,,bentiamine,CC(N(Cc1cnc(C)nc1N)C=O)=C(CCOC(=O)c2ccccc2)SC(=O)c3ccccc3 ,CC(N(Cc1cnc(C)nc1N)C=O)=C(CCOC(=O)c2ccccc2)SC(=O)c3ccccc3 ,,1,
Adenot,,,benzaprinoxide,CN(C)(=O)CCC=C2c1ccccc1C=Cc3c(Cl)cccc23 ,CN(C)(=O)CCC=C2c1ccccc1C=Cc3c(Cl)cccc23 ,,1,
Adenot,,,benzindopyrine,C(Cc2cn(Cc1ccccc1)c3ccccc23)c4ccncc4 ,C(Cc2cn(Cc1ccccc1)c3ccccc23)c4ccncc4 ,,1,
Adenot,,,benzquinamide,CCN(CC)C(=O)C3CN2CCc1cc(OC)c(OC)cc1C2CC3OC(C)=O ,CCN(CC)C(=O)C3CN2CCc1cc(OC)c(OC)cc1C2CC3OC(C)=O ,,1,
Adenot,,,benztropine (benzatropine),CN1C2CCC1CC(C2)OC(c3ccccc3)c4ccccc4 ,CN1C2CCC1CC(C2)OC(c3ccccc3)c4ccccc4 ,,1,
Adenot,,,benzyl-alcohol,OCc1ccccc1 ,OCc1ccccc1 ,,1,
Adenot,,,berupipam,CN2CCc1cc(Cl)c(O)cc1C(C2)c3cc(Br)cc4CCOc34 ,CN2CCc1cc(Cl)c(O)cc1C(C2)c3cc(Br)cc4CCOc34 ,,1,
Adenot,,,bervastatin,CCOC(=O)CC(O)CC(O)C=CC3=C(c1ccc(F)cc1)c2ccccc2OC34CCCC4 ,CCOC(=O)CC(O)CC(O)C=CC3=C(c1ccc(F)cc1)c2ccccc2OC34CCCC4 ,,1,
Adenot,,,betamethasone-acibutate,CC(C)C(=O)OC3(C(C)CC4C2CCC1=CC(=O)C=CC1(C)C2(F)C(O)CC34C)C(=O)COC(C)=O ,CC(C)C(=O)OC3(C(C)CC4C2CCC1=CC(=O)C=CC1(C)C2(F)C(O)CC34C)C(=O)COC(C)=O ,,1,
Adenot,,,betamethasone-benzoate,CC4CC3C2CCC1=CC(=O)C=CC1(C)C2(F)C(O)CC3(C)C4(OC(=O)c5ccccc5)C(=O)CO ,CC4CC3C2CCC1=CC(=O)C=CC1(C)C2(F)C(O)CC3(C)C4(OC(=O)c5ccccc5)C(=O)CO ,,1,
Adenot,,,binospirone,O=C2CC1(CCCC1)CC(=O)N2CCNCC4COc3ccccc3O4 ,O=C2CC1(CCCC1)CC(=O)N2CCNCC4COc3ccccc3O4 ,,1,
Adenot,,,biotin,OC(=O)CCCCC1SCC2NC(=O)NC12 ,OC(=O)CCCCC1SCC2NC(=O)NC12 ,,1,
Adenot,,,bipenamol,NCc1ccccc1Sc2ccccc2CO ,NCc1ccccc1Sc2ccccc2CO ,,1,
Adenot,,,biriperone,Fc1ccc(cc1)C(=O)CCCN5CCN4Cc3[nH]c2ccccc2c3CC4C5 ,Fc1ccc(cc1)C(=O)CCCN5CCN4Cc3[nH]c2ccccc2c3CC4C5 ,,1,
Adenot,,,bisbentiamine,CC(N(Cc1cnc(C)nc1N)C=O)=C(CCOC(=O)c2ccccc2)SSC(CCOC(=O)c3ccccc3)=C(C)N(Cc4cnc(C)nc4N)C=O ,CC(N(Cc1cnc(C)nc1N)C=O)=C(CCOC(=O)c2ccccc2)SSC(CCOC(=O)c3ccccc3)=C(C)N(Cc4cnc(C)nc4N)C=O ,,1,
Adenot,,,bisorcic,CC(=O)NCCCC(NC(C)=O)C(O)=O ,CC(=O)NCCCC(NC(C)=O)C(O)=O ,,1,
Adenot,,,blonanserin,CCN1CCN(CC1)c4cc(c2ccc(F)cc2)c3CCCCCCc3n4 ,CCN1CCN(CC1)c4cc(c2ccc(F)cc2)c3CCCCCCc3n4 ,,1,
Adenot,,,bremazocine,CCC24CCN(CC1(O)CC1)C(Cc3ccc(O)cc23)C4(C)C ,CCC24CCN(CC1(O)CC1)C(Cc3ccc(O)cc23)C4(C)C ,,1,
Adenot,,,brofoxine,CC1(C)OC(=O)Nc2ccc(Br)cc12 ,CC1(C)OC(=O)Nc2ccc(Br)cc12 ,,1,
Adenot,,,bromazepam,Brc3ccc2NC(=O)CN=C(c1ccccn1)c2c3 ,Brc3ccc2NC(=O)CN=C(c1ccccn1)c2c3 ,,1,
Adenot,,,bromisoval,CC(C)C(Br)C(=O)NC(N)=O ,CC(C)C(Br)C(=O)NC(N)=O ,,1,
Adenot,,,bromoform,BrC(Br)Br ,BrC(Br)Br ,,1,
Adenot,,,bromperidol,OC2(CCN(CCCC(=O)c1ccc(F)cc1)CC2)c3ccc(Br)cc3 ,OC2(CCN(CCCC(=O)c1ccc(F)cc1)CC2)c3ccc(Br)cc3 ,,1,
Adenot,,,brosotamide,Cc1cc(Br)cc(C(N)=O)c1O ,Cc1cc(Br)cc(C(N)=O)c1O ,,1,
Adenot,,,brosuximide,Brc1cccc(c1)C2CC(=O)NC2=O ,Brc1cccc(c1)C2CC(=O)NC2=O ,,1,
Adenot,,,brotizolam,Cc3nnc4CN=C(c1ccccc1Cl)c2cc(Br)sc2n34 ,Cc3nnc4CN=C(c1ccccc1Cl)c2cc(Br)sc2n34 ,,1,
Adenot,,,buciclovir,Nc2nc1n(CCC(O)CO)cnc1c(=O)[nH]2 ,Nc2nc1n(CCC(O)CO)cnc1c(=O)[nH]2 ,,1,
Adenot,,,buclizine,CC(C)(C)c4ccc(CN1CCN(CC1)C(c2ccccc2)c3ccc(Cl)cc3)cc4 ,CC(C)(C)c4ccc(CN1CCN(CC1)C(c2ccccc2)c3ccc(Cl)cc3)cc4 ,,1,
Adenot,,,buprenorphine,COC12CCC3(CC1C(C)(O)C(C)(C)C)C4Cc6ccc(O)c7OC2C3(CCN4CC5CC5)c67 ,COC12CCC3(CC1C(C)(O)C(C)(C)C)C4Cc6ccc(O)c7OC2C3(CCN4CC5CC5)c67 ,,1,
Adenot,,,bupropion,CC(NC(C)(C)C)C(=O)c1cccc(Cl)c1 ,CC(NC(C)(C)C)C(=O)c1cccc(Cl)c1 ,,1,
Adenot,,,buramate,OCCOC(=O)NCc1ccccc1 ,OCCOC(=O)NCc1ccccc1 ,,1,
Adenot,,,butacetin,CC(=O)Nc1ccc(OC(C)(C)C)cc1 ,CC(=O)Nc1ccc(OC(C)(C)C)cc1 ,,1,
Adenot,,,butaclamol,CC(C)(C)C3(O)CCN2CC4c1ccccc1CCc5cccc(C2C3)c45 ,CC(C)(C)C3(O)CCN2CC4c1ccccc1CCc5cccc(C2C3)c45 ,,1,
Adenot,,,butaperazine,CCCC(=O)c4ccc3Sc1ccccc1N(CCCN2CCN(C)CC2)c3c4 ,CCCC(=O)c4ccc3Sc1ccccc1N(CCCN2CCN(C)CC2)c3c4 ,,1,
Adenot,,,butoctamide,CCCCC(CC)CNC(=O)CC(C)O ,CCCCC(CC)CNC(=O)CC(C)O ,,1,
Adenot,,,butorphanol,Oc4ccc3CC1N(CCC2(CCCCC12O)c3c4)CC5CCC5 ,Oc4ccc3CC1N(CCC2(CCCCC12O)c3c4)CC5CCC5 ,,1,
Adenot,,,cabergoline,CCNC(=O)N(CCCN(C)C)C(=O)C4CC1C(Cc2c[nH]c3cccc1c23)N(CC=C)C4 ,CCNC(=O)N(CCCN(C)C)C(=O)C4CC1C(Cc2c[nH]c3cccc1c23)N(CC=C)C4 ,,1,
Adenot,,,cafedrine,CC(NCCn1cnc2n(C)c(=O)n(C)c(=O)c12)C(O)c3ccccc3 ,CC(NCCn1cnc2n(C)c(=O)n(C)c(=O)c12)C(O)c3ccccc3 ,,1,
Adenot,,,camazepam,CN(C)C(=O)OC3N=C(c1ccccc1)c2cc(Cl)ccc2N(C)C3=O ,CN(C)C(=O)OC3N=C(c1ccccc1)c2cc(Cl)ccc2N(C)C3=O ,,1,
Adenot,,,camphor,CC1(C)C2CCC1(C)C(=O)C2 ,CC1(C)C2CCC1(C)C(=O)C2 ,,1,
Adenot,,,caproxamine,CCCCCC(=NOCCN)c1ccc(C)c(N)c1 ,CCCCCC(=NOCCN)c1ccc(C)c(N)c1 ,,1,
Adenot,,,captodiame,CCCCSc1ccc(cc1)C(SCCN(C)C)c2ccccc2 ,CCCCSc1ccc(cc1)C(SCCN(C)C)c2ccccc2 ,,1,
Adenot,,,capuride,CCC(C)C(CC)C(=O)NC(N)=O ,CCC(C)C(CC)C(=O)NC(N)=O ,,1,
Adenot,,,carbamazepine,NC(=O)N2c1ccccc1C=Cc3ccccc23 ,NC(=O)N2c1ccccc1C=Cc3ccccc23 ,,1,
Adenot,,,carbubarb,CCCCC1(CCOC(N)=O)C(=O)NC(=O)NC1=O ,CCCCC1(CCOC(N)=O)C(=O)NC(=O)NC1=O ,,1,
Adenot,,,carburazepam,CN2C(=O)CN(C(c1ccccc1)c3cc(Cl)ccc23)C(N)=O ,CN2C(=O)CN(C(c1ccccc1)c3cc(Cl)ccc23)C(N)=O ,,1,
Adenot,,,carfimate,NC(=O)OC(C#C)c1ccccc1 ,NC(=O)OC(C#C)c1ccccc1 ,,1,
Adenot,,,carmantadine,OC(=O)C1CCN1C34CC2CC(CC(C2)C3)C4 ,OC(=O)C1CCN1C34CC2CC(CC(C2)C3)C4 ,,1,
Adenot,,,caroxazone,NC(=O)CN2Cc1ccccc1OC2=O ,NC(=O)CN2Cc1ccccc1OC2=O ,,1,
Adenot,,,carperone,CC(C)NC(=O)OC2CCN(CCCC(=O)c1ccc(F)cc1)CC2 ,CC(C)NC(=O)OC2CCN(CCCC(=O)c1ccc(F)cc1)CC2 ,,1,
Adenot,,,carphenazine (carfenazine),CCC(=O)c4ccc3Sc1ccccc1N(CCCN2CCN(CCO)CC2)c3c4 ,CCC(=O)c4ccc3Sc1ccccc1N(CCCN2CCN(CCO)CC2)c3c4 ,,1,
Adenot,,,carzenide,NS(=O)(=O)c1ccc(cc1)C(O)=O ,NS(=O)(=O)c1ccc(cc1)C(O)=O ,,1,
Adenot,,,cathinone,CC(N)C(=O)c1ccccc1 ,CC(N)C(=O)c1ccccc1 ,,1,
